what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289865516700
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1289865518585
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289865528608
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289865535676
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289865537065
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289865552529
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1289865565585
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1289865571773
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289865574995
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289865586961
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289865590147
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289865609301
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1289865623971
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289865625170
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289865674979
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1289865676668
executed,command,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.edit.text.c.format",1289865681102
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289865693640
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289865713469
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1289865716357
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289865717914
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289865722819
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289865733801
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289866562436
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289866564418
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867490218
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867495851
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867519854
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867526560
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867752542
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867754130
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867956530
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867957713
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289868496510
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289868496611
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289868497720
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289868502147
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201006141710,"org.eclipse.cdt.debug.mi.ui",1289868511785
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.0.201006141710,"org.eclipse.cdt.debug.mi.core",1289868511785
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201006141710,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1289868511810
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201006141710,"org.eclipse.cdt.debug.ui.memory.search",1289868511839
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201006141710,"org.eclipse.cdt.dsf.gdb.ui",1289868511839
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.0.201006141710,"org.eclipse.cdt.dsf.ui",1289868511884
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201006141710,"org.eclipse.cdt.gdb.ui",1289868511897
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201006141710,"org.eclipse.cdt.dsf.gdb",1289868511897
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201006141710,"org.eclipse.cdt.launch",1289868511897
stopped,bundle,org.eclipse.cdt.debug.ui,7.0.0.201006141710,"org.eclipse.cdt.debug.ui",1289868511897
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201006141710,"org.eclipse.cdt.debug.ui.memory.traditional",1289868511910
stopped,bundle,org.eclipse.cdt.dsf,2.1.0.201006141710,"org.eclipse.cdt.dsf",1289868511910
stopped,bundle,org.eclipse.cdt.debug.core,7.0.0.201006141710,"org.eclipse.cdt.debug.core",1289868511910
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.ui",1289868511910
stopped,bundle,org.eclipse.cdt.make.ui,7.0.0.201006141710,"org.eclipse.cdt.make.ui",1289868511910
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.gnu.ui",1289868511910
stopped,bundle,org.eclipse.cdt.managedbuilder.core,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.core",1289868511910
stopped,bundle,org.eclipse.cdt.make.core,7.0.0.201006141710,"org.eclipse.cdt.make.core",1289868511910
stopped,bundle,org.eclipse.cdt.mylyn.ui,1.1.2.v20100608-0100-e3x,"org.eclipse.cdt.mylyn.ui",1289868511910
stopped,bundle,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui",1289868512461
stopped,bundle,org.eclipse.cdt.core,5.2.0.201006141710,"org.eclipse.cdt.core",1289868513685
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1289868513716
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1289868513733
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1289868513737
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1289868513737
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1289868513737
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1289868513737
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1289868513737
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1289868513738
stopped,bundle,org.eclipse.mylyn.resources.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.resources.ui",1289868513739
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.0.v20100608-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1289868513792
stopped,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1289868513792
